Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-03-14,Thursday,2,09:20:00,72559.6,72600CE,367.5,937.65,367.85,637.95,True,2024-03-14 09:24:00,-78.09,72600PE,355.7,359.35,50.9,60.05,False,,291.2
2024-03-15,Friday,1,09:20:00,72855.18,72900CE,190.25,319.65,0.1,0.15,True,2024-03-15 09:22:00,-40.43,72900PE,199.4,400.0,143.5,256.0,True,2024-03-15 09:35:00,-42.37
2024-03-18,Monday,5,09:20:00,72683.99,72800CE,552.45,650.0,369.75,487.7,False,,57.84,72800PE,535.85,760.15,375.0,466.35,True,2024-03-18 09:34:00,-113.87
2024-03-19,Tuesday,4,09:20:00,72389.15,72500CE,476.9,505.95,247.7,262.0,False,,208.94,72500PE,461.55,699.05,417.0,646.05,True,2024-03-19 10:00:00,-98.08
2024-03-20,Wednesday,3,09:20:00,72219.09,72300CE,406.2,457.95,183.45,318.9,False,,82.22,72300PE,392.85,718.5,277.2,404.25,True,2024-03-20 10:01:00,-83.48
2024-03-21,Thursday,2,09:20:00,72650.31,72700CE,288.6,372.0,170.95,250.6,True,2024-03-21 10:10:00,-61.33,72700PE,293.5,406.3,161.8,163.15,True,2024-03-21 12:09:00,-62.37
2024-03-22,Friday,1,09:20:00,72423.41,72500CE,179.7,802.2,106.35,329.9,True,2024-03-22 09:36:00,-38.19,72500PE,181.55,410.8,0.05,0.1,True,2024-03-22 09:25:00,-38.58
2024-03-26,Tuesday,3,09:20:00,72674.04,72800CE,392.25,405.0,273.15,304.95,False,,82.4,72800PE,394.65,454.1,297.75,341.8,False,,47.92
2024-03-27,Wednesday,2,09:20:00,72628.07,72700CE,305.15,519.4,285.3,499.0,True,2024-03-27 09:29:00,-64.84,72700PE,279.65,290.0,68.3,73.45,False,,202.7
2024-03-28,Thursday,1,09:20:00,73253.49,73300CE,162.65,950.4,158.3,349.7,True,2024-03-28 09:22:00,-34.56,73300PE,144.55,154.6,0.1,0.1,False,,142.64
2024-04-01,Monday,5,09:20:00,74174.12,74200CE,513.85,556.15,351.55,412.15,False,,95.28,74200PE,491.7,560.0,430.0,465.0,False,,20.55
