Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-07-08,Monday,2,09:20:00,23650.55,23600CE,94.1,143.1,38.8,70.0,True,2024-07-08 09:22:00,-19.76,23600PE,104.5,184.0,56.35,76.45,True,2024-07-08 09:46:00,-21.94
2024-07-09,Tuesday,1,09:20:00,23667.45,23600CE,62.65,135.3,40.6,62.8,True,2024-07-09 09:23:00,-13.16,23600PE,56.75,69.35,0.05,0.05,True,2024-07-09 09:47:00,-11.92
2024-07-10,Wednesday,5,09:20:00,23615.1,23550CE,181.85,213.85,145.0,193.7,False,,-13.67,23550PE,165.45,206.1,109.0,119.7,True,2024-07-10 10:40:00,-34.74
2024-07-11,Thursday,4,09:20:00,23669.35,23600CE,159.95,168.15,65.1,159.75,False,,-1.4,23600PE,135.65,263.85,104.05,106.3,True,2024-07-11 09:33:00,-28.49
2024-07-12,Friday,3,09:20:00,23630.0,23600CE,122.8,278.1,105.1,117.4,True,2024-07-12 09:24:00,-25.79,23600PE,120.4,135.75,53.7,95.55,False,,23.65
2024-07-15,Monday,2,09:20:00,23630.65,23650CE,91.45,186.0,55.55,131.6,True,2024-07-15 09:28:00,-19.2,23650PE,112.1,175.0,43.65,53.5,True,2024-07-15 09:40:00,-23.54
2024-07-16,Tuesday,1,09:20:00,23792.35,23750CE,79.35,88.4,0.05,0.1,False,,78.46,23750PE,72.2,157.15,62.0,102.0,True,2024-07-16 09:27:00,-15.16
2024-07-18,Thursday,4,09:20:00,23639.6,23600CE,244.85,377.05,192.5,333.95,True,2024-07-18 09:49:00,-51.42,23600PE,222.15,244.3,117.95,133.75,False,,86.18
2024-07-19,Friday,3,09:20:00,23695.8,23700CE,203.35,250.45,156.2,173.5,True,2024-07-19 09:26:00,-42.7,23700PE,214.7,299.0,171.15,293.1,True,2024-07-19 10:57:00,-45.09
2024-07-22,Monday,2,09:20:00,23480.65,23450CE,237.15,374.4,233.1,328.65,True,2024-07-22 09:32:00,-49.8,23450PE,215.15,216.0,113.4,137.75,False,,75.25
2024-07-23,Tuesday,1,09:20:00,23678.7,23650CE,198.1,210.1,0.05,0.1,False,,196.02,23650PE,204.0,584.15,159.25,345.95,True,2024-07-23 09:25:00,-42.84
2024-07-24,Wednesday,5,09:20:00,23350.0,23350CE,193.8,240.0,80.4,115.45,True,2024-07-24 09:35:00,-40.7,23350PE,193.95,440.95,160.9,250.25,True,2024-07-24 09:39:00,-40.73
2024-07-25,Thursday,4,09:20:00,22973.3,22950CE,194.0,221.0,142.45,206.75,False,,-14.69,22950PE,174.55,204.35,87.75,103.6,False,,69.2
2024-07-26,Friday,3,09:20:00,23078.5,23100CE,131.45,295.55,92.0,252.1,True,2024-07-26 11:13:00,-27.6,23100PE,147.15,189.55,39.5,48.15,True,2024-07-26 09:33:00,-30.9
2024-07-29,Monday,2,09:20:00,23429.35,23450CE,86.55,245.7,22.45,26.1,True,2024-07-29 09:37:00,-18.18,23450PE,102.85,244.1,21.6,186.35,True,2024-07-29 12:17:00,-21.6
2024-07-30,Tuesday,1,09:20:00,23262.25,23250CE,82.8,346.0,47.4,87.25,True,2024-07-30 09:44:00,-17.39,23250PE,67.45,136.65,0.05,0.15,True,2024-07-30 09:23:00,-14.16
2024-07-31,Wednesday,5,09:20:00,23467.55,23400CE,188.35,238.0,169.3,215.85,True,2024-07-31 10:13:00,-39.55,23400PE,190.0,197.8,138.0,143.05,False,,45.05
2024-08-01,Thursday,4,09:20:00,23619.25,23550CE,162.3,179.75,85.95,108.9,False,,51.78,23550PE,158.3,233.7,140.05,186.6,True,2024-08-01 12:28:00,-33.24
2024-08-02,Friday,3,09:20:00,23360.0,23300CE,138.6,248.0,129.8,153.0,True,2024-08-02 09:26:00,-29.11,23300PE,147.85,157.8,68.4,107.55,False,,38.82
2024-08-05,Monday,2,09:20:00,23052.0,23000CE,142.0,151.9,28.0,32.8,False,,107.78,23000PE,147.95,460.0,127.35,261.55,True,2024-08-05 09:24:00,-31.07
2024-08-06,Tuesday,1,09:20:00,23060.7,23000CE,87.15,166.5,0.05,0.05,True,2024-08-06 09:21:00,-18.3,23000PE,83.0,512.2,63.05,479.4,True,2024-08-06 09:25:00,-17.43
2024-08-07,Wednesday,5,09:20:00,22827.75,22800CE,193.5,226.9,134.9,219.25,False,,-27.68,22800PE,218.35,310.0,163.8,175.0,True,2024-08-07 10:03:00,-45.85
2024-08-08,Thursday,4,09:20:00,22852.95,22800CE,194.8,285.3,145.6,171.15,True,2024-08-08 11:18:00,-40.91,22800PE,200.75,262.5,114.0,185.3,True,2024-08-08 10:07:00,-42.16
2024-08-09,Friday,3,09:20:00,23052.1,23000CE,152.85,188.0,108.35,112.2,True,2024-08-09 09:47:00,-32.1,23000PE,141.2,179.05,110.25,139.1,True,2024-08-09 10:37:00,-29.65
2024-08-12,Monday,2,09:20:00,22980.0,22950CE,112.35,245.25,60.65,133.3,True,2024-08-12 10:22:00,-23.59,22950PE,126.45,170.1,28.15,59.3,True,2024-08-12 09:50:00,-26.55
2024-08-13,Tuesday,1,09:20:00,22985.0,22900CE,85.35,105.35,0.05,0.1,True,2024-08-13 09:23:00,-17.92,22900PE,68.55,311.45,35.65,301.75,True,2024-08-13 09:30:00,-14.4
2024-08-14,Wednesday,4,09:20:00,22625.0,22600CE,183.2,222.8,159.3,191.6,True,2024-08-14 09:47:00,-38.47,22600PE,198.65,204.75,126.65,135.1,False,,61.56
2024-08-16,Friday,3,09:20:00,22847.8,22800CE,140.75,262.05,67.55,235.0,True,2024-08-16 12:05:00,-29.56,22800PE,116.35,229.05,39.5,43.1,True,2024-08-16 09:37:00,-24.43
2024-08-19,Monday,2,09:20:00,23059.75,23050CE,89.5,89.2,21.1,34.95,False,,53.65,23050PE,103.3,211.25,101.8,142.6,True,2024-08-19 09:25:00,-21.69
